Manufacturer Name,Model_Name,Category of UAS,Sub Category of UAS,Class of UAS
3DR,S110A,ROTORCRAFT,RPAS,SMALL
4DRC,MARK300,ROTORCRAFT,RPAS,MICRO
Aarav unmanned systems Pvt Ltd,AUS T5OOi,AEROPLANE,RPAS,SMALL
Aarav unmanned systems Pvt Ltd,Insight 1.0,ROTORCRAFT,RPAS,SMALL
Aarav unmanned systems Pvt Ltd,Insight 2.0,ROTORCRAFT,RPAS,SMALL
Aarav unmanned systems Pvt Ltd,Insight 2.1,ROTORCRAFT,RPAS,SMALL
Aarav unmanned systems Pvt Ltd,Sparrow-RTK,AEROPLANE,RPAS,MICRO
ACCEL UAV Pvt. Ltd.,ACE1,ROTORCRAFT,RPAS,SMALL
ACSL,PF2,ROTORCRAFT,RPAS,SMALL
Aero Drone Technologies Pvt Ltd,A410,ROTORCRAFT,RPAS,SMALL
Aero Drone Technologies Pvt Ltd,A610,ROTORCRAFT,RPAS,MICRO
AEROAEON AVIONICS PVT LTD,DX,ROTORCRAFT,RPAS,SMALL
Aerosys Aviation India Private Limited,VEDANSH,ROTORCRAFT,RPAS,MICRO
Aeroworks,YAK 54,AEROPLANE,RPAS,SMALL
AFI Technology,AGRICULTURAL DRONE,ROTORCRAFT,RPAS,MICRO
Aibotix GmbH,AIBOTIX X6 V2,ROTORCRAFT,RPAS,SMALL
AIRSELFIE LIMITED,AIRSELFIE2 AS02,AEROPLANE,RPAS,MICRO
Airserve Initiatives LLP,AS100S,ROTORCRAFT,RPAS,MICRO
Align,ALIGN T-REX 150X,ROTORCRAFT,RPAS,MICRO
Align,ALIGN T-REX 450LP,ROTORCRAFT,RPAS,MICRO
Align,ALIGN T-REX 500X,ROTORCRAFT,RPAS,MICRO
Align,ALIGN T-REX 600X,ROTORCRAFT,RPAS,MICRO
Align,ALIGN T-REX 700N DFC,ROTORCRAFT,RPAS,MICRO
Anna University Centre for Aerospace r,DH-FW-M5,AEROPLANE,RPAS,MICRO
Anna University Centre for Aerospace r,DH-Q4,ROTORCRAFT,RPAS,MICRO
ANRA Technologies,AN -SIGLIFT,HYBRID,RPAS,MICRO
ANRA Technologies,AN -SIGLIFT MINI,ROTORCRAFT,RPAS,MICRO
Ansari Precision Instruments Pvt Ltd,TRINITY F90+,HYBRID,RPAS,SMALL
Asteria Aerospace Pvt Ltd,A200,ROTORCRAFT,RPAS,MICRO
Asteria Aerospace Pvt Ltd,A200 GEO,ROTORCRAFT,RPAS,MICRO
Asteria Aerospace Pvt Ltd,A200-XT,ROTORCRAFT,RPAS,MICRO
Asteria Aerospace Pvt Ltd,A400,ROTORCRAFT,RPAS,SMALL
Asteria Aerospace Pvt Ltd,A400-038,ROTORCRAFT,RPAS,SMALL
Asteria Aerospace Pvt Ltd,A400-MAX,ROTORCRAFT,RPAS,SMALL
Asteria Aerospace Pvt Ltd,A410,ROTORCRAFT,RPAS,SMALL
Asteria Aerospace Pvt Ltd,A410-XT,ROTORCRAFT,RPAS,SMALL
Asteria Aerospace Pvt Ltd,ASTERIA A400 THERMAL,ROTORCRAFT,RPAS,MICRO
Asteria Aerospace Pvt Ltd,AT05,HYBRID,RPAS,SMALL
Asteria Aerospace Pvt Ltd,QUAD 1,ROTORCRAFT,RPAS,SMALL
ATTOP,X-PACK 1,ROTORCRAFT,RPAS,NANO
Auldey,SKY ROVER,ROTORCRAFT,RPAS,MICRO
Autel Robotics,Autel Evo II Dual,ROTORCRAFT,RPAS,MICRO
Autel Robotics,EVO,ROTORCRAFT,RPAS,MICRO
Autel Robotics,EVO II,ROTORCRAFT,RPAS,MICRO
Autel Robotics,EVO II 8K,ROTORCRAFT,RPAS,MICRO
Autel Robotics,EVO II PRO,ROTORCRAFT,RPAS,MICRO
AutoMicroUAS Aerotech Pvt Ltd,BEE,ROTORCRAFT,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,VARGUS 2M,ROTORCRAFT,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,VARGUS 3M,ROTORCRAFT,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,VARGUS LWTQ,ROTORCRAFT,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,VARGUS LWTQ Training RPA,ROTORCRAFT,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,VARGUS SKTACT,AEROPLANE,RPAS,MICRO
AutoMicroUAS Aerotech Pvt Ltd,VARGUS SKTACT2,AEROPLANE,RPAS,MICRO
AutoMicroUAS Aerotech Pvt Ltd,VARGUS SKTACT3,AEROPLANE,RPAS,SMALL
AutoMicroUAS Aerotech Pvt Ltd,Vargus TQ,ROTORCRAFT,RPAS,MICRO
BEAST,SG906,ROTORCRAFT,RPAS,MICRO
Beijing Fimi Technology Co Ltd,FIMI A3,ROTORCRAFT,RPAS,MICRO
Beijing Fimi Technology Co Ltd,FIMI X8 MINI,ROTORCRAFT,RPAS,MICRO
Beijing Fimi Technology Co Ltd,FIMI X8 SE,ROTORCRAFT,RPAS,MICRO
Beijing Fimi Technology Co Ltd,FIMI X8SE 2020,ROTORCRAFT,RPAS,MICRO
